caseid,status,attempt_count,started_at,completed_at,tracks_requested,tracks_downloaded,bytes_downloaded,checksums,failure_type,failure_message,retryable,source_version
2440,failed,1,2026-07-19T14:50:42.306782+00:00,2026-07-19T14:50:42.325847+00:00,[],[],0,{},NonRetryableDownloadError,"required tracks missing: ['bis', 'propofol_rate', 'remifentanil_rate']",false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
2573,complete,1,2026-07-19T14:50:42.348451+00:00,2026-07-19T14:50:42.715024+00:00,"[""bis"",""propofol_rate"",""remifentanil_rate""]","[""bis"",""propofol_rate"",""remifentanil_rate""]",822499,"{""bis.csv"":""274889f498c1742254e17b1fcc219d811c3bab262f9c5f5ee1dc9a80bb80e11a"",""clinical.json"":""62fab8c252aa74333c2ba25ac49c2a8c9e46fd8257f1ff8d6fda83296b575d8d"",""propofol_rate.csv"":""9552cba1b7ff1f49b29c42b7fa2c12a6e4abd40398f49f684f2429d13bb2c65d"",""remifentanil_rate.csv"":""83bbacc48e0d4b05d69e2380e9acdfb222ce4b4fcc7a373e7c8b0cd04d85f67c"",""source_metadata.json"":""9a1f0e7951a79d132a779231781275700f09291baed9595bb6b0f8c12e69ecff"",""track_inventory.json"":""dfac8255af289dc4cdb627d2ea36398a57a081bb892faec61f03c9f3b3bb94c9""}",,,false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
2635,complete,1,2026-07-19T14:50:42.733534+00:00,2026-07-19T14:50:43.026981+00:00,"[""bis"",""propofol_rate"",""remifentanil_rate""]","[""bis"",""propofol_rate"",""remifentanil_rate""]",425745,"{""bis.csv"":""10befb29607667662a1c9bcc05b60209ca0c7dd0d6df51848377a0b5a84c52f9"",""clinical.json"":""3fb3dcf09dce2c6333516ae5fe2f8201c80930c927daf4e08f9394bedbae4718"",""propofol_rate.csv"":""4ae17732aefb41e3160747df98e9e601b20f88579a2e44092f146ef67ebdc75d"",""remifentanil_rate.csv"":""4412760271345bfe4225139b3294f7e75b308a66e012ec0144b2ba8d8f491b90"",""source_metadata.json"":""db40be1731b0c84b061ee22094744f4788fedce1dbe1568aa11256243386efd7"",""track_inventory.json"":""e5a4ab61ebba1952e1f8149089789cac2ea5b7f4ffff821cb01e725961b65b6f""}",,,false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
2840,failed,1,2026-07-19T14:50:43.045519+00:00,2026-07-19T14:50:43.061033+00:00,"[""bis"",""remifentanil_rate""]",[],0,{},NonRetryableDownloadError,required tracks missing: ['propofol_rate'],false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
2969,failed,1,2026-07-19T14:50:43.082486+00:00,2026-07-19T14:50:43.101949+00:00,"[""bis""]",[],0,{},NonRetryableDownloadError,"required tracks missing: ['propofol_rate', 'remifentanil_rate']",false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
3137,failed,1,2026-07-19T14:50:43.130890+00:00,2026-07-19T14:50:43.153764+00:00,"[""bis"",""remifentanil_rate""]",[],0,{},NonRetryableDownloadError,required tracks missing: ['propofol_rate'],false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
3430,complete,1,2026-07-19T14:50:43.188889+00:00,2026-07-19T14:50:43.525835+00:00,"[""bis"",""propofol_rate"",""remifentanil_rate""]","[""bis"",""propofol_rate"",""remifentanil_rate""]",313601,"{""bis.csv"":""17bc97334ce544a3abac4b166481edd5157d571887e5b6bc203bce39b564d9f8"",""clinical.json"":""d94cb3fd953abae6c2bad02fcc29e0c63340ff53219519390a42dec12b0170f5"",""propofol_rate.csv"":""53f45c042cc1b781b27caeef954ada543a84a583da700a82dfa0f90355e5c672"",""remifentanil_rate.csv"":""cc7c50bfd22ded3eb3266d128a3de16e7562d61b26756135255a6b4a344bfe9e"",""source_metadata.json"":""615abd7edc57c622e08addc7994ef7966047ea285414ec0ef7421ddeba3ec848"",""track_inventory.json"":""727f5dabbfb164a5642c2d15bad5982847b496e8b6f9b804e7dfb65bd1f96068""}",,,false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
3736,failed,1,2026-07-19T14:50:43.542334+00:00,2026-07-19T14:50:43.561511+00:00,"[""bis"",""remifentanil_rate""]",[],0,{},NonRetryableDownloadError,required tracks missing: ['propofol_rate'],false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
3865,complete,1,2026-07-19T14:50:43.591482+00:00,2026-07-19T14:50:44.006475+00:00,"[""bis"",""propofol_rate"",""remifentanil_rate""]","[""bis"",""propofol_rate"",""remifentanil_rate""]",2743352,"{""bis.csv"":""4614b5bcd54a45cce03bf8e2bd8034e00029961e1c4d6b7a26aee359bb86c026"",""clinical.json"":""fec3541a265387ed0d5cb0d5440934bcfd27ad589f7855fc02a5104ca7f040fc"",""propofol_rate.csv"":""015e4a357e9fd01b757db402211537451752235aefa8ff70412f63301dab5b5c"",""remifentanil_rate.csv"":""f6b1763e988b1220de1f0d794aa2ab4240d5d1322aae808c86ebc5da31a0c763"",""source_metadata.json"":""9b5ca18086efc8677bf50f586ad96c4ee6fc7c924c4d4e79b5b69e70ea5ddcaa"",""track_inventory.json"":""a304dbbd6cbb08f510194fadfa684a0f067d65a3739f74dd3963dafbb3beb465""}",,,false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
4094,failed,1,2026-07-19T14:50:44.034392+00:00,2026-07-19T14:50:44.066820+00:00,"[""bis""]",[],0,{},NonRetryableDownloadError,"required tracks missing: ['propofol_rate', 'remifentanil_rate']",false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
4527,failed,1,2026-07-19T14:50:44.105339+00:00,2026-07-19T14:50:44.129191+00:00,"[""bis""]",[],0,{},NonRetryableDownloadError,"required tracks missing: ['propofol_rate', 'remifentanil_rate']",false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
4640,complete,1,2026-07-19T14:50:44.162381+00:00,2026-07-19T14:50:44.504794+00:00,"[""bis"",""propofol_rate"",""remifentanil_rate""]","[""bis"",""propofol_rate"",""remifentanil_rate""]",795524,"{""bis.csv"":""650961e3e5c49ac58508523fcbd77bc7124710a0a0f6aaf87bd4fc66de033ecc"",""clinical.json"":""7af1e2a21a73127fdaa6c288dab7c3479e2c9eb9b10d89d20a3863b517e696e2"",""propofol_rate.csv"":""de9f780a55c43e7c239edfd7a4d32dd3852f50317ecc3af882a0b9e94d1a34f7"",""remifentanil_rate.csv"":""496e8b5ef2174134175a67e3facd6765d7b95626df9a578f5817e6a5461d7321"",""source_metadata.json"":""69634eb9a6d1f1a9a26085cac35ec6f13018b3f5a09d603a5a33939ad958959a"",""track_inventory.json"":""1dea6d00c99a678ab1e0e2d950a545820d7a952f0ca2857c17b9776f4841c21c""}",,,false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
4998,complete,1,2026-07-19T14:50:44.531154+00:00,2026-07-19T14:50:44.893491+00:00,"[""bis"",""propofol_rate"",""remifentanil_rate""]","[""bis"",""propofol_rate"",""remifentanil_rate""]",541377,"{""bis.csv"":""32e4141c1af354c884b85665a1d41fdb477b3c1f3839b8c046d623f15a06bfcc"",""clinical.json"":""bcc9aa46b788a8dda50b1c3ae2ab79857c1aa33f9cdeba8eda74fea0288649e2"",""propofol_rate.csv"":""7919afd2ede6fb615c0a661c3a5fb9864d25c6233c454d29ada6155e60dd4066"",""remifentanil_rate.csv"":""297ff69219ca434c429706ae090af2b3773e496f234572ada726105c4eb5fb7e"",""source_metadata.json"":""591f72078ae3da14520fb8d6d92d9bce27d8a04540381fe7f638cd824238684f"",""track_inventory.json"":""b2e8819a1eb3ad3e67984e2aefcc98203efe3dc3b4055fa7689996e3508d037c""}",,,false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
5451,failed,1,2026-07-19T14:50:44.917770+00:00,2026-07-19T14:50:44.947317+00:00,"[""bis"",""remifentanil_rate""]",[],0,{},NonRetryableDownloadError,required tracks missing: ['propofol_rate'],false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
6002,complete,1,2026-07-19T14:50:44.983654+00:00,2026-07-19T14:50:45.322824+00:00,"[""bis"",""propofol_rate"",""remifentanil_rate""]","[""bis"",""propofol_rate"",""remifentanil_rate""]",158821,"{""bis.csv"":""d133c9ee13902ee90d0e3e82051c504014f47eb27be37718bfc6ca504d7ed6e3"",""clinical.json"":""cd1373cf05798388204a886c3db00a3c999ebcbec7bf9c0d718a9500854d67db"",""propofol_rate.csv"":""fb1e2d59fb1cf59ec67527804209722b5eaee5e8f5dfcc1e0fe808e489affc0e"",""remifentanil_rate.csv"":""57256fe7137ff0066f87952e24aec5ab6df1b7e7a197a23ee3de049566c73b57"",""source_metadata.json"":""c67a3bfa6b7c1048fa00faa7a97e0f0aed77d40c2ba6f7d2745e1e55b5ce6fcb"",""track_inventory.json"":""357ba94425fc7009680a2b90d72e4dac4ac426551d741ffe4c7086fde2843304""}",,,false,vitaldb_open_api;cases_sha256=d74684b4794b5095c32ca607ab5d6b1f8d04f888a607f4fd48470c8ffe885a0b;tracks_sha256=82b31333be20ca912ded93f46bf3ae42db281da40515a9945acc57749da9ffd0
