caseid,track_name,raw_relative_path,raw_byte_count,raw_sha256,checksum_verified
221,BIS/BIS,cases/221/bis.signal,71143,d86ea5b41853a4e959ab49c2d190fa8b418327400ac100ea03fb5a1bd4695d88,true
221,BIS/SQI,cases/221/bis_sqi.signal,70877,59236fd73314f42c0123dc98c14484032560445942457160275657c777472d90,true
221,Orchestra/PPF20_RATE,cases/221/ppf20_rate.signal,184960,ed80da518ffb5fdb9b505f53f3e7d405dc6463411d4055a47d775546f51ac6c3,true
221,Orchestra/RFTN20_RATE,cases/221/rftn20_rate.signal,185127,deca755372aa6df54991b54698da2a1b24888f8e80135f8f3a3d4bda25ff629a,true
223,BIS/BIS,cases/223/bis.signal,71038,9decf6b86071438bb74d747c99ef6806590e1e1f77291edb1377de8dcf5e1864,true
223,BIS/SQI,cases/223/bis_sqi.signal,71203,538909a2f72f4cf5015ce6c7f03028451c24150b80e9eb3f1ec8ba4b399b7b02,true
223,Orchestra/PPF20_RATE,cases/223/ppf20_rate.signal,246455,08c090e7a8b054ba942bb46c586cc537522298528376212f95b39e32fa8cc87c,true
223,Orchestra/RFTN20_RATE,cases/223/rftn20_rate.signal,250880,440eb5c30172ca4105f9e9249d9403d4bd01d280178fa02223718d849aeb718f,true
226,BIS/BIS,cases/226/bis.signal,51821,1cde7e666d55f2a68c317964f80931e24adbbd32a655535aaba08651df7911f1,true
226,BIS/SQI,cases/226/bis_sqi.signal,51351,13b0368b4d1cf6a9b0a0fe4341776d4682714d99ed48ff8cbb75563a38429487,true
226,Orchestra/PPF20_RATE,cases/226/ppf20_rate.signal,151877,83ab74c03eb05f996932ce2343b5ff568eb79176cfbf53e126e880fef86a0504,true
226,Orchestra/RFTN20_RATE,cases/226/rftn20_rate.signal,148383,86ab5a58d3f0d64113501bf734b9ecca970cb33163c6eb8383aa1777d063dc5d,true
227,BIS/BIS,cases/227/bis.signal,67704,19435dc5d9177bdd18a7535fcc5643494c7f97ce42b7042dc957de964edf7516,true
227,BIS/SQI,cases/227/bis_sqi.signal,67646,69332f2f0e739c11f7cef1024e1ec8911193ee65b0db737b1f015ac6a1b90130,true
227,Orchestra/PPF20_RATE,cases/227/ppf20_rate.signal,219100,85e4e8a619433f2dd7982dcf861b2af842e3eda40f2ffd8f61a245cb85d950ec,true
227,Orchestra/RFTN20_RATE,cases/227/rftn20_rate.signal,218979,02c1e09bf385831f90f7491a1152d078d0eb97c0e94c066096acced93d5c2418,true
231,BIS/BIS,cases/231/bis.signal,81024,359fca0dc664f5b8d55c9b72a118e40cb5c0a9ed34a39a44005893c8f65d47f5,true
231,BIS/SQI,cases/231/bis_sqi.signal,80771,df7044e9a321cc021acc59bb854bcbb1b6774e1042905401ce723670847571eb,true
231,Orchestra/PPF20_RATE,cases/231/ppf20_rate.signal,195388,902581df620c487279c26d7912a66ff17aaa085df4958bab88557f5dc5274aef,true
231,Orchestra/RFTN20_RATE,cases/231/rftn20_rate.signal,198461,3776653d234254d0cf3b51f62da0f73ae2a7d299da21b85d9cdf07221ba52491,true
235,BIS/BIS,cases/235/bis.signal,129422,e9e198ab1a21c083fb27cf0bb3ca7dbf6a429b07d2dc1524886e11e986ad784f,true
235,BIS/SQI,cases/235/bis_sqi.signal,129444,ad5d735fe9bb3ccd8fc1462df213cf5862fbb1ae67fed9e455119f6f32356cfa,true
235,Orchestra/PPF20_RATE,cases/235/ppf20_rate.signal,349180,dd4f8ae9c5b3533768216107f327faff311cacd41944ff86b0c1c4f57ed98e4e,true
235,Orchestra/RFTN20_RATE,cases/235/rftn20_rate.signal,351170,cf48e8723ee330266b73676141a81a1ad067893082de29e669a6615c17fb21e9,true
236,BIS/BIS,cases/236/bis.signal,264067,f328085f9cca84010b66d9c5a4aa012a308a3e62dff30309ad53734dc2961d25,true
236,BIS/SQI,cases/236/bis_sqi.signal,262440,f245924240eeb0e4a9432383e35d982a995f5d2786aca4313cc52125883bf579,true
236,Orchestra/PPF20_RATE,cases/236/ppf20_rate.signal,750924,f935c0ce47f286a90a58e6442f7fc8526934aab919ae5bd693e4e77bf53a955f,true
236,Orchestra/RFTN20_RATE,cases/236/rftn20_rate.signal,741644,2387122818cc392be748983e8b717de81df37974dfeb7488c4e28eb120bc4bdd,true
237,BIS/BIS,cases/237/bis.signal,283938,6d03e0f28d4b98645c0cefe18a50f4f4ed50788701e69fe7c38bee3d648c1ce3,true
237,BIS/SQI,cases/237/bis_sqi.signal,283810,0a73c13bcbf32730dd0a92ef97259d58b11d61e71741e4fbde8aaa8a30608580,true
237,Orchestra/PPF20_RATE,cases/237/ppf20_rate.signal,1113673,a55af448c558e8e551b636a07fef2cbbaac1c36d7daa702050a0914583d37f2f,true
237,Orchestra/RFTN20_RATE,cases/237/rftn20_rate.signal,1095750,d71cffd86912823ee88ee21d77d465a56247da13ae573728e3ace4146a6fb093,true
