track_name,row_count,case_count,distinct_tid_count,review_status,auto_approved
EV1000/CVP,235,235,235,pending_human_review,False
Primus/SET_FLOW_TRIG,154,154,154,pending_human_review,False
Solar8000/FEM_DBP,142,142,142,pending_human_review,False
Solar8000/FEM_MBP,142,142,142,pending_human_review,False
Solar8000/FEM_SBP,142,142,142,pending_human_review,False
Orchestra/PHEN_RATE,127,127,127,pending_human_review,False
Orchestra/PHEN_VOL,127,127,127,pending_human_review,False
SNUADC/FEM,127,127,127,pending_human_review,False
Solar8000/VENT_COMPL,114,114,114,pending_human_review,False
Solar8000/VENT_MEAS_PEEP,98,98,98,pending_human_review,False
Orchestra/FUT_RATE,94,94,94,pending_human_review,False
Orchestra/FUT_VOL,94,94,94,pending_human_review,False
Orchestra/PGE1_RATE,90,90,90,pending_human_review,False
Orchestra/PGE1_VOL,90,90,90,pending_human_review,False
Orchestra/NEPI_RATE,88,88,88,pending_human_review,False
Orchestra/NEPI_VOL,88,88,88,pending_human_review,False
Solar8000/PA_DBP,81,81,81,pending_human_review,False
Solar8000/PA_MBP,81,81,81,pending_human_review,False
Solar8000/PA_SBP,81,81,81,pending_human_review,False
Orchestra/RFTN50_CE,69,68,69,pending_human_review,False
Orchestra/RFTN50_CP,69,68,69,pending_human_review,False
Orchestra/RFTN50_CT,69,68,69,pending_human_review,False
Orchestra/RFTN50_RATE,69,68,69,pending_human_review,False
Orchestra/RFTN50_VOL,69,68,69,pending_human_review,False
Vigilance/CI,65,65,65,pending_human_review,False
Vigilance/CO,65,65,65,pending_human_review,False
Vigilance/BT_PA,64,64,64,pending_human_review,False
Vigilance/SQI,63,63,63,pending_human_review,False
Vigilance/SVO2,63,63,63,pending_human_review,False
Vigilance/SNR,59,59,59,pending_human_review,False
Vigilance/SV,55,55,55,pending_human_review,False
Vigilance/SVI,55,55,55,pending_human_review,False
Vigilance/HR_AVG,53,53,53,pending_human_review,False
Vigilance/EDV,49,49,49,pending_human_review,False
Vigilance/EDVI,49,49,49,pending_human_review,False
Vigilance/ESV,49,49,49,pending_human_review,False
Vigilance/ESVI,49,49,49,pending_human_review,False
Vigilance/RVEF,48,48,48,pending_human_review,False
Invos/SCO2_L,33,33,33,pending_human_review,False
Invos/SCO2_R,33,33,33,pending_human_review,False
Orchestra/DOPA_RATE,33,33,33,pending_human_review,False
Orchestra/DOPA_VOL,33,33,33,pending_human_review,False
Orchestra/NTG_RATE,32,32,32,pending_human_review,False
Orchestra/NTG_VOL,32,32,32,pending_human_review,False
CardioQ/ABP,29,29,29,pending_human_review,False
CardioQ/CO,29,29,29,pending_human_review,False
CardioQ/FLOW,29,29,29,pending_human_review,False
CardioQ/FTc,29,29,29,pending_human_review,False
CardioQ/HR,29,29,29,pending_human_review,False
CardioQ/MD,29,29,29,pending_human_review,False
CardioQ/SD,29,29,29,pending_human_review,False
CardioQ/SV,29,29,29,pending_human_review,False
CardioQ/CI,28,28,28,pending_human_review,False
CardioQ/FTp,28,28,28,pending_human_review,False
CardioQ/MA,28,28,28,pending_human_review,False
CardioQ/PV,28,28,28,pending_human_review,False
CardioQ/SVI,28,28,28,pending_human_review,False
FMS/FLOW_RATE,15,15,15,pending_human_review,False
