condition_id,preprocessing_profile,state_profile,metric_name,unit,median,q1,q3,case_count,subject_count,seed,source_artifact,source_sha256,source_field
P0S0,P0,S0,mean_absolute_bis_deviation,BIS points,12.60505671509436,9.93068130995019,15.385190377569023,490,483,42,paper/generated/phase8e_aggregate_results.json,2939f9580a992ef8f43d9f57bc2c7c5a1159b147d3739a6a8809932ac81fcae1,conditions[].metrics[]
P1S0,P1,S0,mean_absolute_bis_deviation,BIS points,4.450716869466532,2.8787432694967654,6.757749600507022,490,483,42,paper/generated/phase8e_aggregate_results.json,2939f9580a992ef8f43d9f57bc2c7c5a1159b147d3739a6a8809932ac81fcae1,conditions[].metrics[]
P0S1,P0,S1,mean_absolute_bis_deviation,BIS points,7.416988059793231,5.483091638913008,9.272579920921736,490,483,42,paper/generated/phase8e_aggregate_results.json,2939f9580a992ef8f43d9f57bc2c7c5a1159b147d3739a6a8809932ac81fcae1,conditions[].metrics[]
P1S1,P1,S1,mean_absolute_bis_deviation,BIS points,6.4785385983599975,5.140723159228889,8.466832141192434,490,483,42,paper/generated/phase8e_aggregate_results.json,2939f9580a992ef8f43d9f57bc2c7c5a1159b147d3739a6a8809932ac81fcae1,conditions[].metrics[]
P0S0,P0,S0,time_above_bis_60_seconds,seconds,4050.0,2845.0,5710.0,490,483,42,paper/generated/phase8e_aggregate_results.json,2939f9580a992ef8f43d9f57bc2c7c5a1159b147d3739a6a8809932ac81fcae1,conditions[].metrics[]
P1S0,P1,S0,time_above_bis_60_seconds,seconds,1010.0,650.0,1545.0,490,483,42,paper/generated/phase8e_aggregate_results.json,2939f9580a992ef8f43d9f57bc2c7c5a1159b147d3739a6a8809932ac81fcae1,conditions[].metrics[]
P0S1,P0,S1,time_above_bis_60_seconds,seconds,1030.0,655.0,1500.0,490,483,42,paper/generated/phase8e_aggregate_results.json,2939f9580a992ef8f43d9f57bc2c7c5a1159b147d3739a6a8809932ac81fcae1,conditions[].metrics[]
P1S1,P1,S1,time_above_bis_60_seconds,seconds,1180.0,750.0,1660.0,490,483,42,paper/generated/phase8e_aggregate_results.json,2939f9580a992ef8f43d9f57bc2c7c5a1159b147d3739a6a8809932ac81fcae1,conditions[].metrics[]
