contrast_id,metric_name,unit,mean_difference,ci_95_low,ci_95_high,cohens_dz,subject_count,bootstrap_replicates,random_seed,source_artifact,source_sha256,source_field
P1S0_minus_P0S0,mean_absolute_bis_deviation,BIS points,-7.35998583268416,-7.608295026080298,-7.110353792800617,-2.6054693671335687,483,2000,42,paper/generated/phase8e_statistics_results.json,681926cb34830cf11391994dbc7d7c14352e94527c2f36549a6fe86547def6ff,contrasts[]
P1S1_minus_P0S1,mean_absolute_bis_deviation,BIS points,-0.719238561364255,-0.8257322134993975,-0.6186952146764095,-0.5985338591213959,483,2000,42,paper/generated/phase8e_statistics_results.json,681926cb34830cf11391994dbc7d7c14352e94527c2f36549a6fe86547def6ff,contrasts[]
P0S1_minus_P0S0,mean_absolute_bis_deviation,BIS points,-5.1077925198997685,-5.468752757656728,-4.732915754588057,-1.2593925967639195,483,2000,42,paper/generated/phase8e_statistics_results.json,681926cb34830cf11391994dbc7d7c14352e94527c2f36549a6fe86547def6ff,contrasts[]
P1S1_minus_P1S0,mean_absolute_bis_deviation,BIS points,1.5329547514201356,1.3692268155693126,1.6928481882035176,0.8158708582804185,483,2000,42,paper/generated/phase8e_statistics_results.json,681926cb34830cf11391994dbc7d7c14352e94527c2f36549a6fe86547def6ff,contrasts[]
P1S0_minus_P0S0,time_above_bis_60_seconds,seconds,-3429.3064182194616,-3677.362577639751,-3192.0256211180126,-1.2674568195282034,483,2000,42,paper/generated/phase8e_statistics_results.json,681926cb34830cf11391994dbc7d7c14352e94527c2f36549a6fe86547def6ff,contrasts[]
P1S1_minus_P0S1,time_above_bis_60_seconds,seconds,143.3022774327122,119.12784679089027,168.52277432712214,0.5141166536168886,483,2000,42,paper/generated/phase8e_statistics_results.json,681926cb34830cf11391994dbc7d7c14352e94527c2f36549a6fe86547def6ff,contrasts[]
P0S1_minus_P0S0,time_above_bis_60_seconds,seconds,-3516.977225672878,-3762.486801242236,-3281.467391304348,-1.2884434044702595,483,2000,42,paper/generated/phase8e_statistics_results.json,681926cb34830cf11391994dbc7d7c14352e94527c2f36549a6fe86547def6ff,contrasts[]
P1S1_minus_P1S0,time_above_bis_60_seconds,seconds,55.631469979296064,-12.896221532091097,115.62836438923391,0.07827399632583652,483,2000,42,paper/generated/phase8e_statistics_results.json,681926cb34830cf11391994dbc7d7c14352e94527c2f36549a6fe86547def6ff,contrasts[]
